"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Sammy Solis","5","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","11457"
"Anthony Rendon","1","4","4","2","1","1","0","0","0","0","0","0","2","0","0","0","0","0","1",".500","12861"
"Taylor Jordan","2","5","5","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".400","10466"
"Bryce Harper","53","177","225","58","28","11","1","18","43","45","46","6","48","1","1","0","6","3","3",".328","11579"
"Yunel Escobar","50","190","210","60","51","6","1","2","28","14","17","0","28","2","1","0","7","1","2",".316","4191"
"Denard Span","35","146","159","44","28","11","0","5","23","16","10","0","15","0","2","1","4","3","0",".301","8347"
"Tanner Roark","15","7","7","2","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0",".286","8753"
"Wilson Ramos","42","159","167","42","32","7","0","3","13","22","6","0","26","0","2","0","3","0","0",".264","1433"
"Danny Espinosa","45","142","166","35","22","7","0","6","26","14","20","4","36","3","0","1","2","0","1",".246","9219"
"Ian Desmond","54","215","232","52","32","16","0","4","24","15","12","0","60","2","0","3","2","1","2",".242","6885"
"Michael Taylor","40","117","126","28","18","5","1","4","9","18","9","3","48","0","0","0","1","5","2",".239","11489"
"Clint Robinson","34","56","60","13","9","3","1","0","7","3","4","0","9","0","0","0","0","0","0",".232","6908"
"Doug Fister","9","13","17","3","2","1","0","0","1","0","1","0","6","0","0","3","0","0","0",".231","9425"
"Reed Johnson","12","18","19","4","3","1","0","0","0","2","0","0","5","1","0","0","1","0","0",".222","1702"
"Max Scherzer","11","27","28","6","6","0","0","0","3","0","0","0","10","0","0","1","0","0","0",".222","3137"
"Jose Lobaton","13","45","52","10","7","1","0","2","5","8","7","1","17","0","0","0","0","0","0",".222","4243"
"Ryan Zimmerman","53","198","221","43","25","12","1","5","22","34","17","0","37","1","5","0","9","1","0",".217","4220"
"Jayson Werth","27","101","119","21","17","2","0","2","17","12","12","0","25","2","4","0","2","0","0",".208","1327"
"Wilmer Difo","5","5","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".200","14320"
"Dan Uggla","29","66","76","13","7","3","2","1","7","11","10","0","17","0","0","0","0","0","1",".197","3442"
"Tyler Moore","36","61","67","12","6","3","0","3","5","10","5","2","14","0","1","0","0","0","0",".197","7244"
"Jordan Zimmermann","11","21","23","3","2","1","0","0","1","3","0","0","7","0","0","2","0","0","0",".143","4505"
"Gio Gonzalez","11","14","21","0","0","0","0","0","0","0","0","0","8","2","0","5","0","0","0",".000","7448"
"Stephen Strasburg","10","12","14","0","0","0","0","0","0","0","0","0","5","0","0","2","0","0","0",".000","10131"
"Matt den Dekker","4","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","11385"
"A.J. Cole","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".000","11467"
