"Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chris Denorfia","12","21","22","9","8","1","0","0","2","1","1","0","7","0","0","0","0","0","1",".429","4400"
"Anthony Rizzo","52","187","232","60","33","16","2","9","29","31","30","4","25","13","2","0","2","10","4",".321","3473"
"Kris Bryant","44","162","195","44","29","7","1","7","29","33","28","0","58","3","2","0","2","5","1",".272","15429"
"Jason Hammel","10","26","27","7","6","1","0","0","2","1","0","0","7","0","1","0","0","0","0",".269","4538"
"Jorge Soler","49","189","208","50","33","12","1","4","20","19","15","2","67","2","2","0","6","0","1",".265","14221"
"Starlin Castro","52","210","223","55","46","4","1","4","19","25","10","3","39","2","1","0","9","4","3",".262","4579"
"Junior Lake","15","42","45","11","6","4","0","1","2","5","3","0","11","0","0","0","0","3","0",".262","4672"
"Addison Russell","38","139","150","35","19","12","0","4","17","15","10","0","51","1","0","0","1","1","3",".252","14106"
"Miguel Montero","43","119","144","29","20","4","0","5","10","16","21","3","32","2","2","0","5","0","0",".244","3364"
"Dexter Fowler","51","200","229","48","32","7","3","6","37","14","24","0","52","2","1","2","2","11","4",".240","4062"
"Chris Coghlan","52","148","165","33","18","7","1","7","17","12","16","3","35","0","0","1","2","4","1",".223","6878"
"Jonathan Herrera","25","48","50","10","9","0","1","0","6","5","1","0","5","0","0","1","0","3","0",".208","4182"
"Mike Baxter","12","11","12","2","2","0","0","0","0","0","1","0","4","0","0","0","1","0","0",".182","4464"
"Matt Szczur","21","35","40","6","4","2","0","0","3","6","3","0","12","0","1","1","0","2","0",".171","11255"
"David Ross","27","48","59","8","3","5","0","0","0","4","10","3","18","0","0","1","0","0","0",".167","1551"
"Tommy La Stella","2","6","6","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0",".167","12371"
"Welington Castillo","24","43","47","7","3","2","0","2","5","5","3","1","12","1","0","0","0","0","0",".163","3256"
"Mike Olt","6","15","16","2","1","0","0","1","1","1","0","0","6","1","0","0","0","0","0",".133","10698"
"Travis Wood","18","22","22","2","2","0","0","0","0","2","0","0","12","0","0","0","0","0","0",".091","9884"
"Kyle Hendricks","10","22","23","2","1","1","0","0","2","1","1","0","11","0","0","0","0","0","0",".091","12049"
"Arismendy Alcantara","11","26","32","2","2","0","0","0","5","1","5","0","11","0","0","1","0","1","0",".077","10711"
"Jake Arrieta","11","25","25","0","0","0","0","0","0","0","0","0","17","0","0","0","1","0","0",".000","4153"
"Jon Lester","11","25","25","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0",".000","4930"
"Tsuyoshi Wada","3","5","6","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0",".000","13046"
