"Name","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Jason Hammel","9.27","0.94","9.86","0.81","26.3 %","2.7 %","23.7 %",".210","0.90",".266","71.4 %","72","69","73","2.82","2.67","0.15","2.75","2.75","4538"
"Jake Arrieta","9.51","1.77","5.36","0.76","26.6 %","5.0 %","21.6 %",".237","1.08",".308","72.2 %","77","72","71","3.04","2.78","0.27","2.70","2.77","4153"
"Gonzalez Germen","12.00","7.50","1.60","0.00","27.6 %","17.2 %","10.3 %",".333","2.17",".500","61.5 %","191","76","102","7.50","2.95","4.55","3.88","4.03","5876"
"David Ross","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0","80","118","0.00","3.11","-3.11","4.51","4.36","1551"
"James Russell","4.76","3.18","1.50","0.00","13.3 %","8.9 %","4.4 %",".244","1.24",".286","78.6 %","40","80","117","1.59","3.11","-1.53","4.47","4.38","4089"
"Justin Grimm","16.39","6.75","2.43","0.96","43.6 %","18.0 %","25.6 %",".156","1.29",".286","100.0 %","25","80","62","0.96","3.11","-2.15","2.32","2.72","11720"
"Hector Rondon","8.10","2.31","3.50","0.77","21.9 %","6.3 %","15.6 %",".256","1.24",".313","80.2 %","79","82","82","3.09","3.20","-0.11","3.10","3.01","2391"
"Edwin Jackson","6.46","4.11","1.57","0.00","15.9 %","10.1 %","5.8 %",".246","1.43",".300","65.2 %","75","83","123","2.93","3.24","-0.31","4.70","4.35","1841"
"Pedro Strop","9.72","3.60","2.70","0.72","27.6 %","10.2 %","17.4 %",".163","0.96",".211","60.3 %","92","88","87","3.60","3.43","0.17","3.29","2.92","4070"
"Neil Ramirez","12.00","9.00","1.33","0.00","30.8 %","23.1 %","7.7 %",".100","1.33",".167","75.0 %","76","88","127","3.00","3.45","-0.45","4.85","4.82","7677"
"Kyle Hendricks","7.36","1.99","3.69","0.77","20.0 %","5.4 %","14.6 %",".251","1.18",".300","71.2 %","102","89","96","3.99","3.46","0.53","3.66","3.54","12049"
"Tsuyoshi Wada","10.91","2.87","3.80","1.15","30.7 %","8.1 %","22.6 %",".179","0.96",".229","90.9 %","58","90","79","2.30","3.50","-1.20","3.00","2.87","13046"
"Phil Coke","8.10","2.70","3.00","0.90","20.0 %","6.7 %","13.3 %",".333","1.70",".406","64.1 %","160","90","77","6.30","3.51","2.79","2.91","2.60","5535"
"Jon Lester","8.65","2.39","3.61","1.20","22.2 %","6.1 %","16.0 %",".270","1.36",".325","74.6 %","98","96","86","3.86","3.76","0.09","3.25","3.42","4930"
"Jason Motte","5.75","3.54","1.63","0.89","14.9 %","9.2 %","5.8 %",".205","1.18",".222","72.1 %","101","114","137","3.98","4.44","-0.46","5.23","4.65","5861"
"Zac Rosscup","8.53","2.84","3.00","1.89","22.8 %","7.6 %","15.2 %",".233","1.21",".255","80.5 %","109","125","98","4.26","4.90","-0.64","3.71","3.38","9419"
"Travis Wood","9.80","3.05","3.21","2.18","24.5 %","7.6 %","16.9 %",".260","1.40",".298","71.1 %","139","132","101","5.44","5.17","0.27","3.85","3.59","9884"
"Brian Schlitter","5.40","2.70","2.00","2.70","12.1 %","6.1 %","6.1 %",".387","2.10",".400","71.4 %","206","171","102","8.10","6.71","1.39","3.86","3.35","3599"
